Occurrence Point,lon,lat
Valsa mali,105.2459,34.85065
Valsa mali,105.2061,34.59958
Valsa mali,105.3594,34.7649
Valsa mali,107.2143,35.48161
Valsa mali,106.93,35.55836
Valsa mali,107.6031,35.29842
Valsa mali,105.769,35.31032
Valsa mali,105.729,35.25686
Valsa mali,105.7741,35.16865
Valsa mali,105.7183,35.08535
Valsa mali,105.7232,35.46861
Valsa mali,105.7219,35.21247
Valsa mali,106.9138,35.48206
Valsa mali,107.0432,35.41133
Valsa mali,105.4765,34.26437
Valsa mali,105.3243,34.19708
Valsa mali,105.4158,34.24378
Valsa mali,105.9995,34.44763
Valsa mali,105.8874,34.47668
Valsa mali,105.8586,34.55483
Valsa mali,105.7872,34.50759
Valsa mali,107.9775,35.65879
Valsa mali,107.8532,35.37529
Valsa mali,107.8967,35.61616
Valsa mali,108.2307,35.76626
Valsa mali,106.4282,34.92928
Valsa mali,105.8358,35.04372
Valsa mali,107.8059,35.82949
Valsa mali,107.8288,35.78574
Valsa mali,107.7535,35.89863
Valsa mali,107.8337,35.65728
Valsa mali,107.5964,35.69838
Valsa mali,107.7583,35.74343
Valsa mali,107.4724,35.55178
Valsa mali,107.3565,35.58652
Valsa mali,105.8828,35.09036
Valsa mali,106.1066,35.19679
Valsa mali,109.6404,35.50803
Valsa mali,109.6078,35.58897
Valsa mali,109.591,35.70494
Valsa mali,109.4409,35.77218
Valsa mali,109.5688,35.85828
Valsa mali,108.4528,34.64583
Valsa mali,108.6023,34.43616
Valsa mali,107.2692,36.69266
Valsa mali,109.2573,35.56844
Valsa mali,109.0599,35.61743
Valsa mali,107.7961,35.20038
Valsa mali,108.3657,34.53922
Valsa mali,120.7382,40.61335
Valsa mali,120.4404,40.49809
Valsa mali,108.2079,34.33978
Valsa mali,108.0673,34.2826
Valsa mali,108.2037,34.10844
Valsa mali,109.294,34.48988
Valsa mali,108.1357,34.69016
Valsa mali,110.169,36.05018
Valsa mali,132.0207,46.44701
Valsa mali,120.7195,36.97991
Valsa mali,120.8476,37.33181
Valsa mali,120.4855,37.63883
Valsa mali,120.7312,37.92108
Valsa mali,120.7951,37.79816
Valsa mali,121.4352,37.50221
Valsa mali,122.1074,37.50032
Valsa mali,120.4145,37.34365
Valsa mali,80.25808,41.22645
Valsa mali,80.30529,41.32977
Valsa mali,80.27194,41.15483
Valsa mali,115.1034,40.60481
Valsa mali,115.5246,40.41747
Valsa mali,115.2086,40.37381
Valsa mali,114.5499,38.42962
Valsa mali,115.2296,37.92998
Valsa mali,114.5627,37.04473
Valsa mali,117.0065,39.75833
Valsa mali,116.7915,40.01876
Valsa mali,116.2845,37.69512
Valsa mali,118.7029,39.73591
Valsa mali,115.8298,38.42281
Valsa mali,115.1384,38.83805
Valsa mali,115.5052,38.77561
Valsa mali,111.0549,34.05162
Valsa mali,110.892,34.5089
Valsa mali,111.0961,34.71984
Valsa mali,111.189,34.77284
Valsa mali,102.3337,35.88342
Valsa mali,101.7788,36.60275
Valsa mali,102.832,36.35028
Valsa mali,102.9515,36.28235
