lon,lat,infestation_percentage
108.9031479,34.92986832,1
108.8662463,35.01670299,1
108.881446,35.04335863,1
108.8816565,35.04320613,1
108.8584655,35.09529882,1
108.8717881,35.10024662,1
108.9142447,35.10148267,1
108.9924538,35.09429634,1
108.9927686,35.09898081,1
108.8789595,34.8563895,1
6.95707532,51.02361442,1
6.957126045,51.02371433,1
6.957128718,51.0236585,1
6.957143093,51.02363458,1
108.9928962,34.7409188,1
108.9966212,34.74215876,1
108.9900974,34.7326424,1
108.997933,34.73265403,1
108.9680039,34.7663706,1
108.9849679,34.72229257,1
108.994304,34.757364,1
109.0021753,34.74338794,1
109.0005532,34.74304277,1
108.9988762,34.7426202,1
6.957068575,51.02365417,1
114.2737889,34.85095869,1
110.5612951,35.26955889,1
6.957244404,51.0236887,1
110.503782,35.304622,1
110.985947,35.051022,1
107.8858063,34.43640702,1
107.8848332,34.44863902,1
107.9134153,34.44678996,1
107.9180207,34.45093955,1
107.9006334,34.49760404,1
107.8977199,34.47324138,1
107.8966388,34.47152681,1
107.8954636,34.46898239,1
107.8966524,34.4594722,1
107.8931021,34.45815762,1
107.8864133,34.41195745,1
108.8884728,34.94742084,1
108.070885,34.25926098,1
108.2009282,34.34503418,1
108.2007516,34.36396236,1
108.2079756,34.37427958,1
108.2238237,34.38517921,1
108.2866216,34.41171866,1
108.4233484,34.43715901,1
108.4233169,34.4370089,1
108.4233302,34.43725628,1
108.4230832,34.43669172,1
108.424546,34.44007597,1
108.4279815,34.43347951,1
108.4287103,34.43357595,1
108.967858,35.08511782,1
108.9677883,35.08505833,1
108.9127203,34.84041344,1
108.907272,34.85173948,1
108.9595257,34.37913718,1
107.105509,22.20997415,1
108.9076276,34.84954849,1
111.3194056,21.45103157,1
108.9204755,34.80493181,1
108.8476385,34.86898069,1
108.8786213,34.85750993,1
108.883732,34.83055095,1
108.8786256,34.85746735,1
110.520772,35.302126,1
110.5229989,35.3029455,1
110.97358,35.055381,1
110.53578,35.27359833,1
110.5345433,35.2772,1
110.532115,35.28353333,1
110.5497133,35.28573167,1
110.5415667,35.2884,1
110.5239462,35.30380025,1
108.8868098,34.84044172,1
108.8842575,34.83528932,1
108.8842916,34.83498581,1
108.8843888,34.8355091,1
108.8889915,34.83530855,1
110.507796,35.233174,1
110.533649,35.278051,1
110.5464017,35.28050167,1
110.5464317,35.280605,1
105.2459,34.85065,1
105.2061,34.59958,1
105.3594,34.7649,1
107.2143,35.48161,1
106.93,35.55836,1
107.6031,35.29842,1
105.769,35.31032,1
105.729,35.25686,1
105.7741,35.16865,1
105.7183,35.08535,1
105.7232,35.46861,1
105.7219,35.21247,1
106.9138,35.48206,1
107.0432,35.41133,1
105.4765,34.26437,1
105.3243,34.19708,1
105.4158,34.24378,1
105.9995,34.44763,1
105.8874,34.47668,1
105.8586,34.55483,1
105.7872,34.50759,1
107.9775,35.65879,1
107.8532,35.37529,1
107.8967,35.61616,1
108.2307,35.76626,1
106.4282,34.92928,1
105.8358,35.04372,1
107.8059,35.82949,1
107.8288,35.78574,1
107.7535,35.89863,1
107.8337,35.65728,1
107.5964,35.69838,1
107.7583,35.74343,1
107.4724,35.55178,1
107.3565,35.58652,1
105.8828,35.09036,1
106.1066,35.19679,1
109.6404,35.50803,1
109.6078,35.58897,1
109.591,35.70494,1
109.4409,35.77218,1
109.5688,35.85828,1
108.4528,34.64583,1
108.6023,34.43616,1
107.2692,36.69266,1
109.2573,35.56844,1
109.0599,35.61743,1
107.7961,35.20038,1
108.3657,34.53922,1
120.7382,40.61335,1
120.4404,40.49809,1
108.2079,34.33978,1
108.0673,34.2826,1
108.2037,34.10844,1
109.294,34.48988,1
108.1357,34.69016,1
110.169,36.05018,1
132.0207,46.44701,1
120.7195,36.97991,1
120.8476,37.33181,1
120.4855,37.63883,1
120.7312,37.92108,1
120.7951,37.79816,1
121.4352,37.50221,1
122.1074,37.50032,1
120.4145,37.34365,1
80.25808,41.22645,1
80.30529,41.32977,1
80.27194,41.15483,1
115.1034,40.60481,1
115.5246,40.41747,1
115.2086,40.37381,1
114.5499,38.42962,1
115.2296,37.92998,1
114.5627,37.04473,1
117.0065,39.75833,1
116.7915,40.01876,1
116.2845,37.69512,1
118.7029,39.73591,1
115.8298,38.42281,1
115.1384,38.83805,1
115.5052,38.77561,1
111.0549,34.05162,1
110.892,34.5089,1
111.0961,34.71984,1
111.189,34.77284,1
102.3337,35.88342,1
101.7788,36.60275,1
102.832,36.35028,1
102.9515,36.28235,1
102.0257,35.94011,1
102.3207,36.47386,1
101.8536,36.58037,1
102.4791,35.84351,1
101.4475,36.05149,1
105.9089,34.53902,1
105.5558,34.56248,1
105.5009,34.5597,1
105.644,34.60327,1
105.7104,34.47127,1
120.949,40.85481,1
120.8195,40.72228,1
105.8128,34.68276,1
105.9914,34.63819,1
105.9015,34.64976,1
111.1127,34.41605,1
110.9476,34.42388,1
110.9404,34.53704,1
110.8449,34.52789,1
111.6608,34.38018,1
111.2493,34.33246,1
112.7443,34.94146,1
114.7795,35.63555,1
113.7061,34.71211,1
115.1119,31.77896,1
114.5726,34.46878,1
