"rID","infestation_percentage","bio2","bio3","bio8","bio9","bio13","bio14","bio15","bio18","bio19"
1,1,103,26,236,-2,118,5,78,279,18
2,1,98,26,213,-17,122,6,78,300,20
3,1,98,26,213,-17,122,6,78,300,20
4,1,98,26,213,-17,122,6,78,300,20
5,1,98,26,213,-17,122,6,78,300,20
6,1,98,26,213,-17,122,6,78,300,20
7,1,98,26,213,-17,122,6,78,300,20
8,1,98,26,213,-17,122,6,78,300,20
9,1,98,26,213,-17,122,6,78,300,20
10,1,103,26,236,-2,118,5,78,279,18
11,1,105,26,250,8,116,5,79,264,19
12,1,105,26,250,8,116,5,79,264,19
13,1,105,26,250,8,116,5,79,264,19
14,1,105,26,250,8,116,5,79,264,19
15,1,105,26,250,8,116,5,79,264,19
16,1,105,26,250,8,116,5,79,264,19
17,1,105,26,250,8,116,5,79,264,19
18,1,107,26,256,11,113,5,77,260,19
19,1,107,26,256,11,113,5,77,260,19
20,1,105,26,250,8,116,5,79,264,19
21,1,113,29,256,16,191,10,105,374,31
22,1,106,27,237,-7,110,5,78,262,16
23,1,106,27,237,-7,110,5,78,262,16
24,1,106,27,246,-1,110,5,76,258,17
25,1,99,27,237,14,113,5,75,288,18
26,1,99,27,237,14,113,5,75,288,18
27,1,99,27,237,14,113,5,75,288,18
28,1,99,27,237,14,113,5,75,288,18
29,1,99,27,237,14,113,5,75,288,18
30,1,99,27,237,14,113,5,75,288,18
31,1,99,27,237,14,113,5,75,288,18
32,1,99,27,237,14,113,5,75,288,18
33,1,99,27,237,14,113,5,75,288,18
34,1,99,27,237,14,113,5,75,288,18
35,1,99,27,237,14,113,5,75,288,18
36,1,103,26,236,-2,118,5,78,279,18
37,1,101,27,246,21,112,5,75,280,18
38,1,101,27,242,14,110,5,76,274,18
39,1,101,27,242,14,110,5,76,274,18
40,1,101,27,242,14,110,5,76,274,18
41,1,101,27,242,14,110,5,76,274,18
42,1,101,27,242,14,110,5,76,274,18
43,1,103,27,246,15,109,5,74,265,18
44,1,103,27,246,15,109,5,74,265,18
45,1,103,27,246,15,109,5,74,265,18
46,1,103,27,246,15,109,5,74,265,18
47,1,103,27,246,15,109,5,74,265,18
48,1,103,27,246,15,109,5,74,265,18
49,1,103,27,246,15,109,5,74,265,18
50,1,98,26,213,-17,122,6,78,300,20
51,1,98,26,213,-17,122,6,78,300,20
52,1,103,26,236,-2,118,5,78,279,18
53,1,103,26,236,-2,118,5,78,279,18
54,1,107,27,260,18,101,5,74,242,18
55,1,82,37,279,165,255,27,73,730,98
56,1,103,26,236,-2,118,5,78,279,18
57,1,68,34,284,182,340,27,72,898,105
58,1,105,26,250,8,116,5,79,264,19
59,1,103,26,236,-2,118,5,78,279,18
60,1,103,26,236,-2,118,5,78,279,18
61,1,105,26,250,8,116,5,79,264,19
62,1,103,26,236,-2,118,5,78,279,18
63,1,106,27,237,-7,110,5,78,262,16
64,1,106,27,237,-7,110,5,78,262,16
65,1,106,27,246,-1,110,5,76,258,17
66,1,106,27,237,-7,110,5,78,262,16
67,1,106,27,237,-7,110,5,78,262,16
68,1,106,27,237,-7,110,5,78,262,16
69,1,106,27,237,-7,110,5,78,262,16
70,1,106,27,237,-7,110,5,78,262,16
71,1,106,27,237,-7,110,5,78,262,16
72,1,103,26,236,-2,118,5,78,279,18
73,1,103,26,236,-2,118,5,78,279,18
74,1,103,26,236,-2,118,5,78,279,18
75,1,103,26,236,-2,118,5,78,279,18
76,1,103,26,236,-2,118,5,78,279,18
77,1,106,27,237,-7,110,5,78,262,16
78,1,106,27,237,-7,110,5,78,262,16
79,1,106,27,237,-7,110,5,78,262,16
80,1,106,27,237,-7,110,5,78,262,16
81,1,104,29,187,-22,103,3,81,275,12
82,1,96,29,158,-35,112,3,78,303,14
83,1,104,29,192,-16,106,3,79,281,13
84,1,104,28,197,-22,116,3,82,284,13
85,1,111,30,190,-30,114,3,85,281,11
